Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
,Afghanistan,5/27/2021,590454,479372,111082,5/27/2021,4
,Albania,5/27/2021,748986,479789,269197,5/27/2021,8
,Algeria,5/27/2021,75000,0,0,5/27/2021,12
,Andorra,5/27/2021,32317,27613,4704,5/27/2021,20
,Angola,5/27/2021,859979,663049,196930,5/27/2021,24
,Antigua and Barbuda,5/27/2021,39519,32469,7050,5/27/2021,28
,Argentina,5/27/2021,11331066,8878491,2452575,5/27/2021,32
,Armenia,5/27/2021,19249,19249,0,5/27/2021,51
,Australia,5/27/2021,3795280,3322398,472882,5/27/2021,36
,Austria,5/27/2021,4768046,3448702,1347211,5/27/2021,40
,Azerbaijan,5/27/2021,2055986,1184780,871206,5/27/2021,31
,Bahamas,5/27/2021,50242,44226,6016,5/27/2021,44
,Bahrain,5/27/2021,1638092,892030,746062,5/27/2021,48
,Bangladesh,5/27/2021,9901717,5823231,4078486,5/27/2021,50
,Barbados,5/27/2021,131999,76413,55586,5/27/2021,52
,Belarus,5/27/2021,710922,438620,272302,5/27/2021,112
,Belgium,5/27/2021,6267216,4483631,1843141,5/27/2021,56
,Belize,5/27/2021,71916,61282,10634,5/27/2021,84
,Bhutan,5/27/2021,482673,482673,0,5/27/2021,64
,Bolivia,5/27/2021,1511957,1185725,326232,5/27/2021,68
,Bosnia and Herzegovina,5/27/2021,232706,188848,43858,5/27/2021,70
,Botswana,5/27/2021,71500,71500,0,5/27/2021,72
,Brazil,5/27/2021,65166633,43239648,21328961,5/27/2021,76
Acre,Brazil,5/27/2021,182447,,,5/27/2021,7601
Alagoas,Brazil,5/27/2021,918024,,,5/27/2021,7602
Amapa,Brazil,5/27/2021,176232,,,5/27/2021,7603
Amazonas,Brazil,5/27/2021,1186303,,,5/27/2021,7604
Bahia,Brazil,5/27/2021,4711088,,,5/27/2021,7605
Ceara,Brazil,5/27/2021,2586686,,,5/27/2021,7606
Distrito Federal,Brazil,5/27/2021,921350,,,5/27/2021,7607
Espirito Santo,Brazil,5/27/2021,1317465,,,5/27/2021,7608
Goias,Brazil,5/27/2021,1991904,,,5/27/2021,7609
Maranhao,Brazil,5/27/2021,1682894,,,5/27/2021,7610
Mato Grosso,Brazil,5/27/2021,859058,,,5/27/2021,7611
Mato Grosso do Sul,Brazil,5/27/2021,1099156,,,5/27/2021,7612
Minas Gerais,Brazil,5/27/2021,7029626,,,5/27/2021,7613
Para,Brazil,5/27/2021,2047779,,,5/27/2021,7614
Paraiba,Brazil,5/27/2021,1250662,,,5/27/2021,7615
Parana,Brazil,5/27/2021,3467627,,,5/27/2021,7616
Pernambuco,Brazil,5/27/2021,2614597,,,5/27/2021,7617
Piaui,Brazil,5/27/2021,864555,,,5/27/2021,7618
Rio Grande do Norte,Brazil,5/27/2021,1020715,,,5/27/2021,7620
Rio Grande do Sul,Brazil,5/27/2021,4462130,,,5/27/2021,7621
Rio de Janeiro,Brazil,5/27/2021,4448106,,,5/27/2021,7619
Rondonia,Brazil,5/27/2021,374612,,,5/27/2021,7622
Roraima,Brazil,5/27/2021,142765,,,5/27/2021,7623
Santa Catarina,Brazil,5/27/2021,2263441,,,5/27/2021,7624
Sao Paulo,Brazil,5/27/2021,16543081,,,5/27/2021,7625
Sergipe,Brazil,5/27/2021,626039,,,5/27/2021,7626
Tocantins,Brazil,5/27/2021,378291,,,5/27/2021,7627
,Brunei,5/27/2021,33850,30000,5799,5/27/2021,96
,Bulgaria,5/27/2021,1303575,777089,526486,5/27/2021,100
,Burma,5/27/2021,2994900,1772177,1222723,5/27/2021,104
,Cambodia,5/27/2021,4113384,2362101,1751283,5/27/2021,116
,Cameroon,5/27/2021,64829,56583,8246,5/27/2021,120
,Canada,5/27/2021,22220403,20195328,1743718,5/27/2021,124
Alberta,Canada,5/27/2021,2578577,,,5/27/2021,12401
British Columbia,Canada,5/27/2021,2979951,,,5/27/2021,12402
Manitoba,Canada,5/27/2021,793748,,,5/27/2021,12403
New Brunswick,Canada,5/27/2021,440338,,,5/27/2021,12404
Newfoundland and Labrador,Canada,5/27/2021,279886,,,5/27/2021,12405
Northwest Territories,Canada,5/27/2021,87861,,,5/27/2021,12406
Nova Scotia,Canada,5/27/2021,521053,,,5/27/2021,12407
Nunavut,Canada,5/27/2021,31715,,,5/27/2021,12416
Ontario,Canada,5/27/2021,8530698,,,5/27/2021,12408
Prince Edward Island,Canada,5/27/2021,52237,,,5/27/2021,12409
